Reference,Reference_Alternative,Reason_for_Exclusion,Notes,Occurrences
"Abreu-Grobois, F. A., Morales-Mérida, B. A., Hart, C. E., Guillon, J. M., Godfrey, M. H., Navarro, E., & Girondot, M. (2020). Recent advances on the estimation of the thermal reaction norm for sex ratios. PeerJ, 8, e8451.",NA,No new data,NA,4
"Ackerman, R. A. (1994). Temperature, time, and reptile egg water exchange. Israel Journal of Ecology and Evolution, 40(3-4), 293-306.",NA,No hatchling sex ratio data,NA,3
"Allen, C. D., Robbins, M. N., Eguchi, T., Owens, D. W., Meylan, A. B., Meylan, P. A., Kellar, N. M., Schwenter, J. A., Nollens, H. H., LeRoux, R. A., Dutton, P. H., & Seminoff, J. A. (2015). First assessment of the sex ratio for an East Pacific green sea turtle foraging aggregation: Validation and application of a testosterone ELISA. PLoS One, 10(10), e0138861.",NA,No hatchling sex ratio data,NA,3
"Allsteadt, J., & Lang, J. W. (1995). Incubation temperature affects body size and energy reserves of hatchling American alligators (Alligator mississippiensis). Physiological Zoology, 68(1), 76-97.",NA,Crocodilian,NA,2
"Andrewartha, S. J., Mitchell, N. J., & Frappell, P. B. (2010). Does incubation temperature fluctuation influence hatchling phenotypes in reptiles? A test using parthenogenetic geckos. Physiological and Biochemical Zoology, 83(4), 597-607.",NA,Squamate,NA,1
"Angilletta, M. J., Jr., Winters, R. S., & Dunham, A. E. (2000). Thermal effects on the energetics of lizard embryos: Implications for hatchling phenotypes. Ecology, 81(11), 2957-2968.",NA,Squamate,NA,1
"Ávila-Aguilar, A. (2015). Nest-site selection of Lepidochelys olivacea (Testudines: Cheloniidae) in the South Pacific region of Costa Rica. Revista de Biología Tropical, 63(S1), 375-381.","Ávila-Aguilar, A. (2015). Selección de sitios de anidación de Lepidochelys olivacea (Testudines: Cheloniidae) en el Pacífico Sur de Costa Rica. Revista de Biología Tropical, 63(S1), 375-381.",No hatchling sex ratio data,NA,5
"Azanza-Ricardo, J., Ibarra Martín, M. E., González Sansón, G., Harrison, E., Medina Cruz, Y., & Bretos, F. (2017). Possible effect of global climate change on Caretta caretta (Testudines, Cheloniidae) nesting ecology at Guanahacabibes Peninsula, Cuba. Chelonian Conservation and Biology, 16(1), 12-19.",NA,No hatchling sex ratio data,NA,2
"Barlian, A., Vanawati, N., & Ayuningtyas, F. D. (2015). The patterns of sex determination and differentiation genes in green sea turtle (Chelonia mydas). Journal of Biological Researches, 20, 15-20.",NA,No hatchling sex ratio data,NA,2
"Beckwith, V. K., & Fuentes, M. M. P. B. (2018). Microplastic at nesting grounds used by the northern Gulf of Mexico loggerhead recovery unit. Marine Pollution Bulletin, 131, 32-37.",NA,No hatchling sex ratio data,NA,2
"Beggs, K., Young, J., Georges, A., & West, P. (2000). Ageing the eggs and embryos of the pig-nosed turtle, Carettochelys insculpta (Chelonia: Carettochelydidae), from northern Australia. Canadian Journal of Zoology, 78(3), 373-392.",NA,No hatchling sex ratio data,NA,4
"Belaïd, B., Cong, H. N., Devilliers, G., Richard-Mercier, N., Pieau, C., & Dorizzi, M. (2004). Lymphoid aggregates in gonads of embryos, hatchlings, and young of turtles with temperature-dependent sex determination. Journal of Experimental Zoology Part A, 301(2), 160-168.",NA,No new data,NA,4
"Bergeron, J. M., Gahr, M., Horan, K., Wibbels, T., & Crews, D. (1998). Cloning and in situ hybridization analysis of estrogen receptor in the developing gonad of the red-eared slider turtle, a species with temperature-dependent sex determination. Development, Growth & Differentiation, 40(2), 243-254.",NA,No hatchling sex ratio data,"Fig. 7 caption suggests individuals were sexed, but numbers not provided",2
"Besson, A. A., Nelson, N. J., Nottingham, C. M., & Cree, A. (2012). Is cool egg incubation temperature a limiting factor for the translocation of tuatara to southern New Zealand? New Zealand Journal of Ecology, 36(1), 90-99.",NA,Tuatara,NA,2
"Bevan, E. M., Wibbels, T., Shaver, D., Shelby Walker, J., Illescas, F., Montano, J., Ortiz, J., Peña, J. J., Sarti, L., Najera, B. M. Z., & Burchfield, P. (2019). Comparison of beach temperatures in the nesting range of Kemp’s ridley sea turtles in the Gulf of Mexico, Mexico and USA. Endangered Species Research, 40, 31-40.",NA,No hatchling sex ratio data,NA,2
"Bieser, K. L., Wibbels, T., Mourad, G., & Paladino, F. (2013). The cloning and expression analysis of Lhx9 during gonadal sex differentiation in the red-eared slider turtle, Trachemys scripta, a species with temperature-dependent sex determination. Journal of Experimental Zoology Part B, 320(4), 238-246.",NA,No hatchling sex ratio data,"Sex reversal verified by histology of stage 26 embryos, but numbers not provided",3
"Bladow, R. A., & Milton, S. L. (2019). Embryonic mortality in green (Chelonia mydas) and loggerhead (Caretta caretta) sea turtle nests increases with cumulative exposure to elevated temperatures. Journal of Experimental Marine Biology and Ecology, 518, 151180.",NA,No hatchling sex ratio data,NA,4
"Blamires, S. J., & Guinea, M. L. (2003). Emergence success of flatback sea turtles (Natator depressus) at Fog Bay, Northern Territory, Australia. Chelonian Conservation and Biology, 4(3), 548-556.",NA,Estimated hatchling sex ratios with temperature data,NA,2
"Blanvillain, G., Wood, L. D., Meylan, A. B., & Meylan, P. A. (2007). Sex ratio prediction of juvenile hawksbill sea turtles (Eretmochelys imbricata) from south Florida, USA. Herpetological Conservation and Biology, 3(1), 21-27.",NA,No hatchling sex ratio data,NA,2
"Bock, B. C., Páez, V. P., & Daza, J. M. (2010). Trachemys callirostris (Gray 1856) - Colombian slider, jicotea, hicotea, galapago, morrocoy de agua. In A. G. J. Rhodin, P. C. H. Pritchard, P. P. van Dijk, R. A. Saumure, K. A. Buhlmann, J. B. Iverson, & R. A. Mittermeier (Eds.), Conservation biology of freshwater turtles and tortoises: A compilation project of the IUCN/SSC Tortoise and Freshwater Turtle Specialist Group. Chelonian Research Monographs, 5, 42.1-42.9.",NA,No new data,NA,6
"Bodensteiner, B. L., Warner, D. A., Iverson, J. B., Milne-Zelman, C. L., Mitchell, T. S., Refsnider, J. M., & Janzen, F. J. (2019). Geographic variation in thermal sensitivity of early life traits in a widespread reptile. Ecology and Evolution, 9(5), 2791-2802.",NA,No hatchling sex ratio data,NA,2
"Bolton, R. M., & Brooks, R. J. (2010). Impact of the seasonal invasion of Phragmites australis (common reed) on turtle reproductive success. Chelonian Conservation and Biology, 9(2), 238-243.",NA,No hatchling sex ratio data,NA,4
"Bonach, K., Piña, C. I., & Verdade, L. M. (2006). Allometry of reproduction of Podocnemis expansa in Southern Amazon basin. Amphibia-Reptilia, 27(1), 55-61.",NA,No hatchling sex ratio data,NA,2
"Booth, D. T. (2002). Incubation of rigid-shelled turtle eggs: Do hydric conditions matter? Journal of Comparative Physiology B, 172(7), 627-633.",NA,No hatchling sex ratio data,NA,4
"Booth, D. T. (1998). Effects of incubation temperature on the energetics of embryonic development and hatchling morphology in the Brisbane river turtle Emydura signata. Journal of Comparative Physiology B, 168(5), 399-404.",NA,No hatchling sex ratio data,NA,2
"Booth, D. T. (1998). Nest temperature and respiratory gases during natural incubation in the broad-shelled river turtle, Chelodina expansa (Testudinata: Chelidae). Australian Journal of Zoology, 46(2), 183-191.",NA,No hatchling sex ratio data,NA,3
"Booth, D. T. (2000). Incubation of eggs of the Australian broad-shelled turtle, Chelodina expansa (Testudinata: Chelidae), at different temperatures: Effects on pattern of oxygen consumption and hatchling morphology. Australian Journal of Zoology, 48(4), 369-378.",NA,No hatchling sex ratio data,NA,3
"Booth, D. T. (2006). Influence of incubation temperature on hatchling phenotype in reptiles. Physiological and Biochemical Zoology, 79(2), 274-281.",NA,No hatchling sex ratio data,NA,4
"Booth, D. T. (2018). Incubation temperature induced phenotypic plasticity in oviparous reptiles: Where to next? Journal of Experimental Zoology Part A, 329(6-7), 343-350.",NA,No hatchling sex ratio data,NA,4
"Booth, D. T., & Astill, K. (2001). Incubation temperature, energy expenditure and hatchling size in the green turtle (Chelonia mydas), a species with temperature-sensitive sex determination. Australian Journal of Zoology, 49(4), 389-396.",NA,No hatchling sex ratio data,NA,3
"Booth, D. T., & Astill, K. (2001). Temperature variation within and between nests of the green sea turtle, Chelonia mydas (Chelonia: Cheloniidae) on Heron Island, Great Barrier Reef. Australian Journal of Zoology, 49(1), 71-84.",NA,Estimated hatchling sex ratios with temperature data,NA,2
"Booth, D. T., & Freeman, C. (2006). Sand and nest temperatures and an estimate of hatchling sex ratio from the Heron Island green turtle (Chelonia mydas) rookery, Southern Great Barrier Reef. Coral Reefs, 25(4), 629-633.",NA,Estimated hatchling sex ratios with temperature data,NA,2
"Bowden, R. M., & Paitz, R. T. (2018). Temperature fluctuations and maternal estrogens as critical factors for understanding temperature-dependent sex determination in nature. Journal of Experimental Zoology Part A, 329(4-5), 177-184.",NA,No new data,NA,1
"Bowden, R. M., Paitz, R. T., & Janzen, F. J. (2011). The ontogeny of postmaturation resource allocation in turtles. Physiological and Biochemical Zoology, 84(2), 204-211.",NA,No hatchling sex ratio data,NA,2
"Boyle, M., Hone, J., Schwanz, L. E., & Georges, A. (2014). Under what conditions do climate-driven sex ratios enhance versus diminish population persistence? Ecology and Evolution, 4(23), 4522-4533.",NA,No hatchling sex ratio data,NA,4
"Bragg, W. K., Fawcett, J. D., Bragg, T. B., & Viets, B. E. (2000). Nest-site selection in two eublepharid gecko species with temperature-dependent sex determination and one with genotypic sex determination. Biological Journal of the Linnean Society, 69(3), 319-332.",NA,Squamate,NA,1
"Braun-McNeill, J., Epperly, S. P., Owens, D. W., Avens, L., Williams, E., & Harms, C. A. (2007). Seasonal reliability of testosterone radioimmunoassay (RIA) for predicting sex ratios of juvenile loggerhead (Caretta caretta) turtles. Herpetologica, 63(3), 275-284.",NA,No hatchling sex ratio data,NA,2
