"""Database.csv"" metadata",,
Column,Value,Description
Order,Text,Order of study organism in reference
Family,Text,Family of study organism in reference
Genus,Text,Genus of study organism in reference
Species,Text,Species of study organism in reference
Subspecies,Text,Subspecies of study organism in reference
Species_Listed_As,Text,Scientific name of study organism provided in reference if not matching current taxonomy
SDM,Text,Confirmed or likely sex-determining mechanism of species
SDM_Confirmed,0,SDM likely
,1,SDM certain
Location,Text,Description of sampling location for eggs or location of incubation if sampling location is not provided
Latitude,Numeric,North-south coordinates for location in decimal degrees
Longitude,Numeric,East-west coordinates for location in decimal degrees
Accurate,0,"Organisms sampled over a large area (e.g., multiple states/provinces) or description of location is vague (e.g., ""Southeast United States"")"
,0.5,"Organisms sampled over an intermediately-sized area (state county, several close water bodies, etc.)"
,1,"Organisms sampled in a small area, well-described location"
Captive,0,Eggs taken from wild individuals
,0.5,Eggs taken from both captive and wild individuals
,1,Eggs taken from captive individuals; includes wild-caught and captive-raised
Outdoors,0,Nesting adults live indoors
,0.5,Nesting adults live indoors and outdoors
,1,Nesting adults live outdoors
Within_Species_Range,0,Nesting adults live within native range of the species
,1,Nesting adults live outside native range of the species
Nest_Year_Start,Integer,Start of turtle nesting / egg collection
Nest_Year_Finish,Integer,End of turtle nesting / egg collection
Nest_Month_Start,Integer,Start of turtle nesting / egg collection
Nest_Month_Finish,Integer,End of turtle nesting / egg collection
Incubation_Setup,Artificial nest,Eggs incubated in a human-made nest
,Backswitch,Eggs switched between incubation temperatures at select points in development
,Constant,"Eggs incubated at single, unchanging temperature throughout development"
,Fluctuating,Eggs incubated under temperatures varying a set amount around a mean value
,Indoor container,Eggs incubated in a container indoors; does not necessarily indicate controlled incubation temperatures
,Natural program,Eggs incubated in a programmable incubator set to match a natural temperature regime
,Nest,Eggs incubated in natural nest
,Outdoor container,"Eggs incubated in a container outdoors, generally under an open shelter (i.e., pavilion, covered patio)"
Substrate,Text,Description of incubation substrate; may also include information on ratio of substrate:water
Water_Content,Negative integer,Water potential in units of kPa
,Percentage,Percent soil moisture
Humidity,Numeric,Relative humidity of incubation chamber between 0 and 1
Thermometer_Location,Container,Temperature recorded within the incubation container
,Container center,Temperature recorded in the center of the eggs within the incubation container
,Incubator,Temperature recorded within the incubator
,Incubator center,Temperature recorded in the center of the incubator
,Incubator shelf,Temperature recorded on each shelf in the incubator
,Nest,Temperature recorded in the nest
,Nest adjacent,Temperature recorded in substrate directly adjacent to the nest
,Nest bottom,Temperature recorded at the bottom of the nest below all eggs
,Nest center,Temperature recorded in the center of the eggs in the nest
,Nest top,Temperature recorded at the top of the nest above all eggs
,Next to each egg,Temperature recorded by each egg within the incubator
Set_Temp,Numeric,Incubator temperature setting in degrees Celsius
Mean_Temp,Numeric,Mean of actual/recorded incubator temperature in degrees Celsius
CTE,Numeric,Constant temperature equivalent (CTE) for variable incubation regimes in degrees Celsius
Fluctuation,Numeric,Fluctuation above and below mean temperature in degrees Celsius
Mean_Temp_SE,Numeric,Standard error of mean temperature value in degrees Celsius
Mean_Temp_SD,Numeric,Standard deviation of mean temperature value in degrees Celsius
Min_Temp,Numeric,Minimum temperature experienced during incubation in degrees Celsius
Max_Temp,Numeric,Maximum temperature experienced during incubation in degrees Celsius
TSP_Mean_Temp,Numeric,Mean temperature during the thermosensitive period of development (TSP) in degrees Celsius
TSP_Mean_SE,Numeric,Standard error of mean temperature during TSP in degrees Celsius
TSP_Mean_SD,Numeric,Standard deviation of mean temperature during TSP in degrees Celsius
TSP_Variance,Numeric,Variance of mean temperature during TSP in degrees Celsius
TSP_Min_Temp,Numeric,Minimum temperature experienced during the TSP in degrees Celsius
TSP_Max_Temp,Numeric,Maximum temperature experienced during the TSP in degrees Celsius
Backswitch_Start,Integer,Day at which eggs are switched to second incubation temperature
,Text,Developmental stage at which eggs are switched to second incubation temperature
Backswitch_Length,Integer,Length of time spent at second incubation temperature in days
,Text,Developmental stage at which eggs leave the second incubation temperature
Backswitch_Base_Temp,Numeric,Incubation temperature in degrees Celsius prior to first switch
Backswitch_Temp,Numeric,Incubation temperature in degrees Celsius after first switch
Backswitch_Final_Temp,Numeric,Incubation temperature in degrees Celsius after second switch
Chemical_Treatment,Text,Name of chemical applied during embryonic development
Chemical_Mass_μg,Numeric,Mass of chemical applied to egg in micrograms
Chemical_Concentration,Numeric,"Molar concentration of chemical solution applied to egg if liquid, % concentration for gases and ethanol given as a value between 0 and 1"
Chemical_Volume_μL,Numeric,Volume of chemical solution applied to egg in microliters
Number_Applications,Integer,Number of times the chemical treatment was applied
,Daily,Treatment applied every day of incubation
,Constant,Eggs exposed to gaseous treatment continually
Application_Route,Gas,"Gas concentrations (CO2, O2) manipulated in incubation chambers"
,Injection,Chemical treatment injected into developing egg
,Substrate,Chemical treatment mixed with incubation substrate
,Topical,Chemical treatment applied to egg surface
Stage_First_Application,Numeric,Developmental stage at which the chemical treatment was first applied
Day_First_Application,Integer,Days since beginning of incubation at which the chemical treatment was first applied
